event,column,row,timebin,adc,tdc,hit
0,2,3,6,160,0,0
0,2,3,7,160,0,0
0,2,4,0,166,0,0
0,2,4,1,167,0,0
0,2,4,2,167,0,0
0,2,4,3,167,0,0
0,2,4,4,167,0,0
0,2,4,5,168,0,0
0,2,4,6,168,0,0
0,2,4,7,168,0,0
0,2,5,0,150,0,0
0,2,5,1,151,0,0
0,2,5,2,152,0,0
0,2,5,3,152,0,0
0,2,5,4,153,0,0
0,2,5,5,153,0,0
0,2,5,6,154,0,0
0,2,5,7,152,0,0
0,2,6,0,155,0,0
0,2,6,1,156,0,0
0,2,6,2,157,0,0
0,2,6,3,158,0,0
0,2,6,4,157,0,0
0,2,6,5,158,0,0
0,2,6,6,158,0,0
0,2,6,7,157,0,0
0,2,7,0,165,0,0
0,2,7,1,165,0,0
0,2,7,2,166,0,0
0,2,7,3,165,0,0
0,2,7,4,165,0,0
0,2,7,5,165,0,0
0,2,7,6,165,0,0
0,2,7,7,165,0,0
0,2,8,0,173,0,0
0,2,8,1,173,0,0
0,2,8,2,173,0,0
0,2,8,3,174,0,0
0,2,8,4,174,0,0
0,2,8,5,174,0,0
0,2,8,6,174,0,0
0,2,8,7,174,0,0
0,2,9,0,155,0,0
0,2,9,1,155,0,0
0,2,9,2,156,0,0
0,2,9,3,156,0,0
0,2,9,4,157,0,0
0,2,9,5,157,0,0
0,2,9,6,157,0,0
0,2,9,7,156,0,0
0,2,10,0,156,0,0
0,2,10,1,156,0,0
0,2,10,2,157,0,0
0,2,10,3,158,0,0
0,2,10,4,158,0,0
0,2,10,5,158,0,0
0,2,10,6,158,0,0
0,2,10,7,158,0,0
0,2,11,0,165,0,0
0,2,11,1,165,0,0
0,2,11,2,165,0,0
0,2,11,3,165,0,0
0,2,11,4,164,0,0
0,2,11,5,165,0,0
0,2,11,6,165,0,0
0,2,11,7,165,0,0
0,2,12,0,174,0,0
0,2,12,1,174,0,0
0,2,12,2,174,0,0
0,2,12,3,174,0,0
0,2,12,4,174,0,0
0,2,12,5,174,0,0
0,2,12,6,174,0,0
0,2,12,7,174,0,0
0,2,13,0,155,0,0
0,2,13,1,155,0,0
0,2,13,2,155,0,0
0,2,13,3,156,0,0
0,2,13,4,156,0,0
0,2,13,5,156,0,0
0,2,13,6,156,0,0
0,2,13,7,156,0,0
0,2,14,0,161,0,0
0,2,14,1,162,0,0
0,2,14,2,162,0,0
0,2,14,3,162,0,0
0,2,14,4,162,0,0
0,2,14,5,162,0,0
0,2,14,6,163,0,0
0,2,14,7,162,0,0
0,2,15,0,162,0,0
0,2,15,1,162,0,0
0,2,15,2,162,0,0
0,2,15,3,163,0,0
0,2,15,4,163,0,0
0,2,15,5,163,0,0
0,2,15,6,164,0,0
0,2,15,7,163,0,0
0,2,16,0,155,0,0
0,2,16,1,156,0,0
0,2,16,2,156,0,0
0,2,16,3,156,0,0
0,2,16,4,155,0,0
0,2,16,5,155,0,0
0,2,16,6,155,0,0
0,2,16,7,155,0,0
0,2,17,0,156,0,0
0,2,17,1,156,0,0
0,2,17,2,156,0,0
0,2,17,3,157,0,0
0,2,17,4,157,0,0
0,2,17,5,157,0,0
0,2,17,6,158,0,0
0,2,17,7,157,0,0
0,2,18,0,159,0,0
0,2,18,1,159,0,0
0,2,18,2,160,0,0
0,2,18,3,160,0,0
0,2,18,4,160,0,0
0,2,18,5,160,0,0
0,2,18,6,161,0,0
0,2,18,7,161,0,0
0,2,19,0,153,0,0
0,2,19,1,153,0,0
0,2,19,2,153,0,0
0,2,19,3,154,0,0
0,2,19,4,153,0,0
0,2,19,5,153,0,0
0,2,19,6,153,0,0
0,2,19,7,153,0,0
0,2,20,0,170,0,0
0,2,20,1,170,0,0
0,2,20,2,170,0,0
0,2,20,3,170,0,0
0,2,20,4,170,0,0
0,2,20,5,170,0,0
0,2,20,6,171,0,0
0,2,20,7,170,0,0
0,2,21,0,161,0,0
0,2,21,1,162,0,0
0,2,21,2,162,0,0
0,2,21,3,163,0,0
0,2,21,4,163,0,0
0,2,21,5,162,0,0
0,2,21,6,162,0,0
0,2,21,7,162,0,0
0,2,22,0,169,0,0
0,2,22,1,168,0,0
0,2,22,2,169,0,0
0,2,22,3,169,0,0
0,2,22,4,169,0,0
0,2,22,5,169,0,0
0,2,22,6,169,0,0
0,2,22,7,170,0,0
0,2,23,0,165,0,0
0,2,23,1,165,0,0
0,2,23,2,165,0,0
0,2,23,3,166,0,0
0,2,23,4,166,0,0
0,2,23,5,166,0,0
0,2,23,6,166,0,0
0,2,23,7,166,0,0
0,2,24,0,150,0,0
0,2,24,1,150,0,0
0,2,24,2,150,0,0
0,2,24,3,150,0,0
0,2,24,4,150,0,0
0,2,24,5,150,0,0
0,2,24,6,150,0,0
0,2,24,7,150,0,0
0,2,25,0,149,0,0
0,2,25,1,149,0,0
0,2,25,2,149,0,0
0,2,25,3,149,0,0
0,2,25,4,149,0,0
0,2,25,5,150,0,0
0,2,25,6,150,0,0
0,2,25,7,149,0,0
0,2,26,0,146,0,0
0,2,26,1,146,0,0
0,2,26,2,146,0,0
0,2,26,3,146,0,0
0,2,26,4,146,0,0
0,2,26,5,146,0,0
0,2,26,6,146,0,0
0,2,26,7,145,0,0
0,2,27,0,157,0,0
0,2,27,1,157,0,0
0,2,27,2,157,0,0
0,2,27,3,158,0,0
0,2,27,4,158,0,0
0,2,27,5,158,0,0
